Number,Strata,Lag,AirPoll,Beta,StdError,P-Value
608,Age 11-60 Female,3,ECO,0.039000,0.086406,0.65175175
609,Age 11-60 Male,3,ECO,-0.008048,0.108419,0.940834008
610,Age 60+All,3,ECO,-0.244785,0.173488,0.1583282
611,Age 60+ Female,3,ECO,-0.289318,0.211175,0.1707473
612,Age 60+ Male,3,ECO,-0.156433,0.295834,0.5969806
613,All,4,ECO,-0.038028,0.060684,0.53091576
614,Female,4,ECO,-0.027015,0.063457,0.6703316
615,Male,4,ECO,0.012834,0.087885,0.88390351
616,Warm All,4,ECO,-0.161409,0.155761,0.300139
617,Warm Female,4,ECO,-0.152439,0.158562,0.3364163
618,Warm Male,4,ECO,-0.163449,0.176568,0.3546545
619,Cold All,4,ECO,-0.038910,0.145866,0.78967555
620,Cold Female,4,ECO,-0.021463,0.148599,0.88516261
621,Cold Male,4,ECO,0.054155,0.163890,0.74108537
622,Age 0-10 All,4,ECO,-0.208421,0.113839,0.06719491
623,Age 0-10 Female,4,ECO,-0.331130,0.160986,0.03975762
624,Age 0-10 Male,4,ECO,-0.108047,0.149930,0.471168
625,Age 11-60 All,4,ECO,0.034084,0.069636,0.62454106
626,Age 11-60 Female,4,ECO,0.020397,0.086573,0.81375336
627,Age 11-60 Male,4,ECO,0.057196,0.107852,0.59591602
628,Age 60+All,4,ECO,-0.084423,0.171121,0.62178726
629,Age 60+ Female,4,ECO,-0.222429,0.209318,0.2880074
630,Age 60+ Male,4,ECO,0.186193,0.288038,0.5180448
631,All,5,ECO,-0.023832,0.060651,0.69438445
632,Female,5,ECO,-0.002769,0.063449,0.96519809
633,Male,5,ECO,0.021133,0.087803,0.80981156
634,Warm All,5,ECO,-0.185777,0.156732,0.2359589
635,Warm Female,5,ECO,-0.160354,0.158926,0.3130366
636,Warm Male,5,ECO,-0.264702,0.180477,0.1425359
637,Cold All,5,ECO,0.004264,0.148467,0.977091576
638,Cold Female,5,ECO,0.025775,0.148998,0.86266949
639,Cold Male,5,ECO,0.142429,0.171606,0.4065972
640,Age 0-10 All,5,ECO,-0.202957,0.113874,0.07477263
641,Age 0-10 Female,5,ECO,-0.258895,0.160473,0.1067474
642,Age 0-10 Male,5,ECO,-0.156921,0.150305,0.2965356
643,Age 11-60 All,5,ECO,0.066104,0.069541,0.3418724
644,Age 11-60 Female,5,ECO,0.036401,0.086423,0.67363395
645,Age 11-60 Male,5,ECO,0.116132,0.107567,0.280373
646,Age 60+All,5,ECO,-0.168682,0.172558,0.3283585
647,Age 60+ Female,5,ECO,-0.285031,0.210948,0.1767061
648,Age 60+ Male,5,ECO,0.058242,0.290830,0.84128619
649,All,6,ECO,-0.090038,0.061061,0.14040811
650,Female,6,ECO,-0.072046,0.063915,0.25971957
651,Male,6,ECO,-0.066110,0.088326,0.45421077
652,Warm All,6,ECO,-0.242985,0.163610,0.1375779
653,Warm Female,6,ECO,-0.212130,0.164451,0.1971442
654,Warm Male,6,ECO,-0.302279,0.188147,0.1082136
655,Cold All,6,ECO,-0.062001,0.145436,0.66990439
656,Cold Female,6,ECO,-0.050854,0.146763,0.72898071
657,Cold Male,6,ECO,0.013049,0.166093,0.9373849
658,Age 0-10 All,6,ECO,-0.332450,0.114784,0.003795156
659,Age 0-10 Female,6,ECO,-0.493302,0.163311,0.002537487
660,Age 0-10 Male,6,ECO,-0.202772,0.150399,0.1776567
661,Age 11-60 All,6,ECO,0.018844,0.069960,0.78766816
662,Age 11-60 Female,6,ECO,0.019236,0.086692,0.82441265
663,Age 11-60 Male,6,ECO,0.018024,0.108426,0.8679816
664,Age 60+All,6,ECO,-0.199776,0.173137,0.2486224
665,Age 60+ Female,6,ECO,-0.244244,0.211246,0.2476621
666,Age 60+ Male,6,ECO,-0.112100,0.294150,0.7031481
667,All,7,ECO,-0.161222,0.061288,0.008554632
668,Female,7,ECO,-0.145954,0.064166,0.02297729
669,Male,7,ECO,-0.083738,0.088329,0.34316816
670,Warm All,7,ECO,-0.353981,0.166437,0.03349234
671,Warm Female,7,ECO,-0.341815,0.167558,0.0414138
672,Warm Male,7,ECO,-0.311330,0.189551,0.1005689
673,Cold All,7,ECO,-0.090895,0.146623,0.53533858
674,Cold Female,7,ECO,-0.070529,0.149117,0.63625429
675,Cold Male,7,ECO,0.001068,0.165922,0.994866233
676,Age 0-10 All,7,ECO,-0.385758,0.114940,0.000797243
677,Age 0-10 Female,7,ECO,-0.544130,0.163216,0.000864005
678,Age 0-10 Male,7,ECO,-0.257170,0.151290,0.08923374
679,Age 11-60 All,7,ECO,-0.049309,0.070336,0.48331082
680,Age 11-60 Female,7,ECO,-0.084452,0.087452,0.33425368
681,Age 11-60 Male,7,ECO,0.009846,0.108429,0.927651926
682,Age 60+All,7,ECO,-0.339396,0.174343,0.05163402
683,Age 60+ Female,7,ECO,-0.489593,0.214403,0.02244921
684,Age 60+ Male,7,ECO,-0.052448,0.291673,0.8573038
685,All,8,ECO,-0.164841,0.061353,0.007242892
686,Female,8,ECO,-0.163938,0.064300,0.01082013
687,Male,8,ECO,-0.047954,0.088176,0.58657858
688,Warm All,8,ECO,-0.393449,0.165583,0.01753837
689,Warm Female,8,ECO,-0.407196,0.167749,0.01524835
690,Warm Male,8,ECO,-0.290216,0.186301,0.1193604
691,Cold All,8,ECO,-0.059518,0.145030,0.68154364
692,Cold Female,8,ECO,-0.044308,0.146858,0.76288864
693,Cold Male,8,ECO,0.058127,0.168220,0.72970423
694,Age 0-10 All,8,ECO,-0.353680,0.114683,0.002055517
695,Age 0-10 Female,8,ECO,-0.581323,0.163617,0.000385074
696,Age 0-10 Male,8,ECO,-0.170855,0.150251,0.2555475
697,Age 11-60 All,8,ECO,-0.077314,0.070525,0.27302518
698,Age 11-60 Female,8,ECO,-0.132851,0.087714,0.1299499
699,Age 11-60 Male,8,ECO,0.015486,0.108407,0.88641612
700,Age 60+All,8,ECO,-0.266698,0.172905,0.123038
701,Age 60+ Female,8,ECO,-0.404492,0.212480,0.05702108
702,Age 60+ Male,8,ECO,-0.004741,0.289930,0.986954503
703,All,9,ECO,-0.070392,0.061028,0.24879223
704,Female,9,ECO,-0.047278,0.063817,0.45883152
705,Male,9,ECO,0.004167,0.088027,0.962241976
706,Warm All,9,ECO,-0.210456,0.164177,0.1999537
707,Warm Female,9,ECO,-0.203232,0.165623,0.2198621
708,Warm Male,9,ECO,-0.166867,0.184502,0.3658228
709,Cold All,9,ECO,-0.046107,0.146318,0.75269089
710,Cold Female,9,ECO,-0.009704,0.147493,0.947545037
711,Cold Male,9,ECO,0.049528,0.169119,0.76964675
712,Age 0-10 All,9,ECO,-0.328645,0.114453,0.004106287
713,Age 0-10 Female,9,ECO,-0.467707,0.162104,0.003930913
714,Age 0-10 Male,9,ECO,-0.215069,0.150662,0.1535102
715,Age 11-60 All,9,ECO,-0.000808,0.070092,0.990804938
716,Age 11-60 Female,9,ECO,-0.041867,0.087134,0.63090195
717,Age 11-60 Male,9,ECO,0.068028,0.108153,0.52938491
718,Age 60+All,9,ECO,0.122847,0.169202,0.4678572
719,Age 60+ Female,9,ECO,-0.039426,0.208312,0.84989602
720,Age 60+ Male,9,ECO,0.431764,0.282277,0.1261957
721,All,10,ECO,-0.089747,0.061000,0.14129529
722,Female,10,ECO,-0.085714,0.063839,0.17944979
723,Male,10,ECO,-0.021934,0.088184,0.80357818
724,Warm All,10,ECO,-0.191779,0.164147,0.2427338
725,Warm Female,10,ECO,-0.175183,0.165689,0.2904327
726,Warm Male,10,ECO,-0.245606,0.186441,0.1877945
727,Cold All,10,ECO,-0.106457,0.149058,0.4751439
728,Cold Female,10,ECO,-0.112249,0.152322,0.4612109
729,Cold Male,10,ECO,0.049522,0.162457,0.76051123
730,Age 0-10 All,10,ECO,-0.309925,0.114598,0.006868932
731,Age 0-10 Female,10,ECO,-0.552062,0.163189,0.000723574
732,Age 0-10 Male,10,ECO,-0.115488,0.149927,0.4411671
733,Age 11-60 All,10,ECO,0.004167,0.069914,0.952480311
734,Age 11-60 Female,10,ECO,0.001019,0.086676,0.990622349
735,Age 11-60 Male,10,ECO,0.009281,0.108480,0.931827036
736,Age 60+All,10,ECO,-0.155295,0.172487,0.3679956
737,Age 60+ Female,10,ECO,-0.307467,0.212188,0.1474027
738,Age 60+ Male,10,ECO,0.137513,0.289012,0.6342391
739,All,11,ECO,-0.102928,0.061008,0.09165214
740,Female,11,ECO,-0.080759,0.063786,0.20555005
741,Male,11,ECO,-0.044577,0.088306,0.61372463
742,Warm All,11,ECO,-0.214171,0.166408,0.1981575
743,Warm Female,11,ECO,-0.184005,0.167482,0.271979
744,Warm Male,11,ECO,-0.284061,0.191573,0.1382054
745,Cold All,11,ECO,-0.117784,0.153715,0.443572
746,Cold Female,11,ECO,-0.101286,0.156336,0.5170998
747,Cold Male,11,ECO,0.034046,0.171645,0.8427805
748,Age 0-10 All,11,ECO,-0.437361,0.115630,0.000157439
749,Age 0-10 Female,11,ECO,-0.680092,0.164798,3.75E-05
750,Age 0-10 Male,11,ECO,-0.242704,0.151414,0.1090275
751,Age 11-60 All,11,ECO,0.020468,0.069765,0.769248
752,Age 11-60 Female,11,ECO,0.016379,0.086541,0.84989505
753,Age 11-60 Male,11,ECO,0.027111,0.108327,0.80239004
754,Age 60+All,11,ECO,-0.083617,0.170815,0.62450004
755,Age 60+ Female,11,ECO,-0.253433,0.209744,0.2270006
756,Age 60+ Male,11,ECO,0.245187,0.286017,0.391358
757,All,12,ECO,-0.080236,0.060992,0.18840814
758,Female,12,ECO,-0.051928,0.063750,0.41537193
759,Male,12,ECO,-0.076637,0.088563,0.38690093
760,Warm All,12,ECO,-0.202273,0.166896,0.2255905
761,Warm Female,12,ECO,-0.171260,0.168752,0.3102291
762,Warm Male,12,ECO,-0.276613,0.190999,0.1476238
763,Cold All,12,ECO,-0.081338,0.149214,0.58570956
764,Cold Female,12,ECO,-0.054598,0.152710,0.72071334
765,Cold Male,12,ECO,-0.015916,0.165865,0.92355914
766,Age 0-10 All,12,ECO,-0.295601,0.114463,0.009841836
767,Age 0-10 Female,12,ECO,-0.340131,0.161076,0.03477734
768,Age 0-10 Male,12,ECO,-0.258776,0.151511,0.08771521
769,Age 11-60 All,12,ECO,0.026473,0.069875,0.70480797
770,Age 11-60 Female,12,ECO,0.006954,0.086714,0.936085271
771,Age 11-60 Male,12,ECO,0.059347,0.108249,0.5835519
772,Age 60+All,12,ECO,-0.244656,0.172295,0.1556849
773,Age 60+ Female,12,ECO,-0.204093,0.209304,0.3295643
774,Age 60+ Male,12,ECO,-0.323661,0.295650,0.2736906
775,All,13,ECO,-0.062808,0.061004,0.30327235
776,Female,13,ECO,-0.032606,0.063761,0.60911418
777,Male,13,ECO,-0.112081,0.088787,0.20688958
778,Warm All,13,ECO,-0.139790,0.166413,0.4009457
779,Warm Female,13,ECO,-0.118337,0.168645,0.482909
780,Warm Male,13,ECO,-0.224814,0.190335,0.23761
781,Cold All,13,ECO,-0.102311,0.152520,0.5023847
782,Cold Female,13,ECO,-0.063441,0.156926,0.6860296
783,Cold Male,13,ECO,-0.121441,0.174396,0.4862475
784,Age 0-10 All,13,ECO,-0.275747,0.114366,0.01594726
785,Age 0-10 Female,13,ECO,-0.302748,0.160794,0.05979162
786,Age 0-10 Male,13,ECO,-0.253435,0.151318,0.09403776
787,Age 11-60 All,13,ECO,0.025005,0.069825,0.72027789
788,Age 11-60 Female,13,ECO,0.071670,0.086221,0.40588704
789,Age 11-60 Male,13,ECO,-0.054481,0.109102,0.61755275
790,Age 60+All,13,ECO,-0.104908,0.171123,0.5398735
791,Age 60+ Female,13,ECO,-0.184714,0.209265,0.3774604
792,Age 60+ Male,13,ECO,0.050139,0.289827,0.86266139
793,All,14,ECO,-0.196733,0.061611,0.001417713
794,Female,14,ECO,-0.180408,0.064501,0.00518118
795,Male,14,ECO,-0.186028,0.089224,0.03713396
796,Warm All,14,ECO,-0.287162,0.166311,0.08430232
797,Warm Female,14,ECO,-0.287848,0.168421,0.08750555
798,Warm Male,14,ECO,-0.275999,0.191036,0.1486024
799,Cold All,14,ECO,-0.214964,0.152920,0.1598791
800,Cold Female,14,ECO,-0.184896,0.155389,0.2341543
801,Cold Male,14,ECO,-0.198648,0.174266,0.2543891
802,Age 0-10 All,14,ECO,-0.442215,0.115680,0.000133861
803,Age 0-10 Female,14,ECO,-0.618120,0.164092,0.000167513
804,Age 0-10 Male,14,ECO,-0.299402,0.152117,0.04910524
805,Age 11-60 All,14,ECO,-0.083674,0.070515,0.23544258
806,Age 11-60 Female,14,ECO,-0.062974,0.087284,0.47064659
807,Age 11-60 Male,14,ECO,-0.118760,0.109496,0.2781594
808,Age 60+All,14,ECO,-0.330186,0.174426,0.05842798
809,Age 60+ Female,14,ECO,-0.391571,0.212756,0.06576948
810,Age 60+ Male,14,ECO,-0.209951,0.297233,0.4800089
811,All,0,ENO2,-0.015011,0.000966,5.63E-53
812,Female,0,ENO2,-0.014266,0.001014,5.81E-44
813,Male,0,ENO2,-0.015787,0.001426,4.06E-28
814,Warm All,0,ENO2,-0.029866,0.002516,5.25E-32
815,Warm Female,0,ENO2,-0.028715,0.002533,2.29E-29
816,Warm Male,0,ENO2,-0.031012,0.002970,3.17E-25
817,Cold All,0,ENO2,-0.005723,0.003029,0.058895236
818,Cold Female,0,ENO2,-0.005109,0.003168,0.106881653
819,Cold Male,0,ENO2,-0.006398,0.003644,0.079174059
820,Age 0-10 All,0,ENO2,-0.021536,0.001848,6.56E-31
821,Age 0-10 Female,0,ENO2,-0.023754,0.002629,2.44E-19
822,Age 0-10 Male,0,ENO2,-0.019721,0.002457,1.30E-15
823,Age 11-60 All,0,ENO2,-0.012169,0.001120,3.85E-27
824,Age 11-60 Female,0,ENO2,-0.011659,0.001395,8.48E-17
825,Age 11-60 Male,0,ENO2,-0.013031,0.001759,1.53E-13
826,Age 60+All,0,ENO2,-0.017458,0.002800,4.92E-10
827,Age 60+ Female,0,ENO2,-0.016260,0.003401,1.80E-06
828,Age 60+ Male,0,ENO2,-0.019810,0.004836,4.27E-05
829,All,1,ENO2,-0.009973,0.000968,1.26E-24
830,Female,1,ENO2,-0.009322,0.001013,5.42E-20
831,Male,1,ENO2,-0.009709,0.001415,7.91E-12
832,Warm All,1,ENO2,-0.022766,0.002553,6.85E-19
833,Warm Female,1,ENO2,-0.022179,0.002580,1.14E-17
834,Warm Male,1,ENO2,-0.022816,0.002997,3.29E-14
835,Cold All,1,ENO2,-0.002323,0.002389,0.330863033
836,Cold Female,1,ENO2,-0.001456,0.002406,0.545126987
837,Cold Male,1,ENO2,-0.002108,0.002792,0.450337151
838,Age 0-10 All,1,ENO2,-0.014641,0.001825,1.32E-15
839,Age 0-10 Female,1,ENO2,-0.015322,0.002576,2.94E-09
840,Age 0-10 Male,1,ENO2,-0.014079,0.002423,6.65E-09
841,Age 11-60 All,1,ENO2,-0.007541,0.001115,1.54E-11
842,Age 11-60 Female,1,ENO2,-0.007923,0.001386,1.16E-08
843,Age 11-60 Male,1,ENO2,-0.006897,0.001737,7.31E-05
844,Age 60+All,1,ENO2,-0.014349,0.002780,2.55E-07
845,Age 60+ Female,1,ENO2,-0.015365,0.003393,6.11E-06
846,Age 60+ Male,1,ENO2,-0.012354,0.004744,0.009246791
847,All,2,ENO2,-0.004770,0.000962,7.31E-07
848,Female,2,ENO2,-0.004682,0.001007,3.42E-06
849,Male,2,ENO2,-0.005477,0.001402,9.48E-05
850,Warm All,2,ENO2,-0.013126,0.002514,1.87E-07
851,Warm Female,2,ENO2,-0.013522,0.002543,1.11E-07
852,Warm Male,2,ENO2,-0.014128,0.002952,1.76E-06
853,Cold All,2,ENO2,-0.000902,0.002418,0.708990319
854,Cold Female,2,ENO2,-0.000293,0.002448,0.904719373
855,Cold Male,2,ENO2,-0.001508,0.002934,0.607267113
856,Age 0-10 All,2,ENO2,-0.004728,0.001784,0.008083716
857,Age 0-10 Female,2,ENO2,-0.004014,0.002498,0.108065204
858,Age 0-10 Male,2,ENO2,-0.005324,0.002372,0.024859995
859,Age 11-60 All,2,ENO2,-0.003871,0.001108,0.000480043
860,Age 11-60 Female,2,ENO2,-0.003097,0.001372,0.024094979
861,Age 11-60 Male,2,ENO2,-0.005189,0.001729,0.002701712
862,Age 60+All,2,ENO2,-0.010961,0.002754,7.02E-05
863,Age 60+ Female,2,ENO2,-0.012338,0.003361,0.000244703
864,Age 60+ Male,2,ENO2,-0.008252,0.004680,0.077908417
865,All,3,ENO2,-0.001912,0.000955,0.04535486
866,Female,3,ENO2,-0.002069,0.001000,0.038628059
867,Male,3,ENO2,-0.001340,0.001386,0.333665985
868,Warm All,3,ENO2,-0.010762,0.002464,1.29E-05
869,Warm Female,3,ENO2,-0.011538,0.002494,3.84E-06
870,Warm Male,3,ENO2,-0.009212,0.002845,0.001212125
871,Cold All,3,ENO2,0.002286,0.002363,0.333346839
872,Cold Female,3,ENO2,0.002765,0.002394,0.248014773
873,Cold Male,3,ENO2,0.001952,0.002658,0.462821844
874,Age 0-10 All,3,ENO2,-0.002493,0.001775,0.160112664
875,Age 0-10 Female,3,ENO2,-0.004389,0.002501,0.079384147
876,Age 0-10 Male,3,ENO2,-0.000934,0.002343,0.690244354
877,Age 11-60 All,3,ENO2,-0.001024,0.001099,0.35176554
878,Age 11-60 Female,3,ENO2,-0.001086,0.001363,0.425680661
879,Age 11-60 Male,3,ENO2,-0.000914,0.001708,0.592714796
880,Age 60+All,3,ENO2,-0.006365,0.002717,0.019174895
881,Age 60+ Female,3,ENO2,-0.006473,0.003306,0.05026548
882,Age 60+ Male,3,ENO2,-0.006159,0.004649,0.185289331
883,All,4,ENO2,-0.002196,0.000956,0.021606312
884,Female,4,ENO2,-0.002133,0.001000,0.033048662
885,Male,4,ENO2,-0.001276,0.001386,0.356999253
886,Warm All,4,ENO2,-0.011363,0.002470,4.34E-06
887,Warm Female,4,ENO2,-0.011401,0.002516,5.99E-06
888,Warm Male,4,ENO2,-0.011051,0.002808,8.42E-05
889,Cold All,4,ENO2,0.002209,0.002285,0.333722541
890,Cold Female,4,ENO2,0.002490,0.002329,0.285056157
891,Cold Male,4,ENO2,0.003554,0.002574,0.16733077
892,Age 0-10 All,4,ENO2,-0.003672,0.001782,0.039392824
893,Age 0-10 Female,4,ENO2,-0.004964,0.002507,0.047739042
894,Age 0-10 Male,4,ENO2,-0.002601,0.002356,0.269581668
895,Age 11-60 All,4,ENO2,-0.001292,0.001100,0.240156875
896,Age 11-60 Female,4,ENO2,-0.001964,0.001368,0.151180139
897,Age 11-60 Male,4,ENO2,-0.000164,0.001703,0.923320818
898,Age 60+All,4,ENO2,-0.004447,0.002710,0.100911009
899,Age 60+ Female,4,ENO2,-0.004708,0.003299,0.153571579
900,Age 60+ Male,4,ENO2,-0.003922,0.004615,0.395476408
901,All,5,ENO2,-0.003029,0.000958,0.001575769
902,Female,5,ENO2,-0.002699,0.001003,0.0071656
903,Male,5,ENO2,-0.002277,0.001389,0.101201988
904,Warm All,5,ENO2,-0.012178,0.002487,1.01E-06
905,Warm Female,5,ENO2,-0.011546,0.002519,4.71E-06
906,Warm Male,5,ENO2,-0.013555,0.002864,2.29E-06
907,Cold All,5,ENO2,0.001264,0.002351,0.590783822
908,Cold Female,5,ENO2,0.001489,0.002362,0.528388603
909,Cold Male,5,ENO2,0.003527,0.002728,0.196057414
910,Age 0-10 All,5,ENO2,-0.005128,0.001790,0.004200749
911,Age 0-10 Female,5,ENO2,-0.005128,0.002509,0.041053576
912,Age 0-10 Male,5,ENO2,-0.005127,0.002376,0.031025924
913,Age 11-60 All,5,ENO2,-0.001405,0.001101,0.202185752
914,Age 11-60 Female,5,ENO2,-0.002457,0.001371,0.073107444
915,Age 11-60 Male,5,ENO2,0.000356,0.001701,0.834292737
916,Age 60+All,5,ENO2,-0.008591,0.002748,0.001778746
917,Age 60+ Female,5,ENO2,-0.007821,0.003332,0.018967526
918,Age 60+ Male,5,ENO2,-0.010097,0.004714,0.032236336
919,All,6,ENO2,-0.007777,0.000966,1.09E-15
920,Female,6,ENO2,-0.007297,0.001013,6.80E-13
921,Male,6,ENO2,-0.007246,0.001405,2.62E-07
922,Warm All,6,ENO2,-0.018707,0.002596,6.80E-13
923,Warm Female,6,ENO2,-0.017706,0.002610,1.32E-11
924,Warm Male,6,ENO2,-0.019944,0.002982,2.56E-11
925,Cold All,6,ENO2,-0.002127,0.002317,0.358720823
926,Cold Female,6,ENO2,-0.001955,0.002337,0.402850064
927,Cold Male,6,ENO2,-0.000341,0.002649,0.897615076
928,Age 0-10 All,6,ENO2,-0.012319,0.001819,1.44E-11
929,Age 0-10 Female,6,ENO2,-0.014104,0.002568,4.19E-08
930,Age 0-10 Male,6,ENO2,-0.010840,0.002412,7.15E-06
931,Age 11-60 All,6,ENO2,-0.005447,0.001114,1.04E-06
932,Age 11-60 Female,6,ENO2,-0.006068,0.001386,1.23E-05
933,Age 11-60 Male,6,ENO2,-0.004404,0.001721,0.010533784
934,Age 60+All,6,ENO2,-0.011809,0.002771,2.07E-05
935,Age 60+ Female,6,ENO2,-0.010907,0.003354,0.001154423
936,Age 60+ Male,6,ENO2,-0.013631,0.004792,0.00446927
937,All,7,ENO2,-0.012930,0.000967,6.10E-40
938,Female,7,ENO2,-0.012354,0.001015,1.59E-33
939,Male,7,ENO2,-0.010613,0.001415,7.56E-14
940,Warm All,7,ENO2,-0.026898,0.002669,1.25E-23
941,Warm Female,7,ENO2,-0.026025,0.002685,5.45E-22
942,Warm Male,7,ENO2,-0.025113,0.003049,2.32E-16
943,Cold All,7,ENO2,-0.004902,0.002352,0.037214265
944,Cold Female,7,ENO2,-0.004420,0.002391,0.064635058
945,Cold Male,7,ENO2,-0.002380,0.002668,0.372426127
946,Age 0-10 All,7,ENO2,-0.018253,0.001839,5.75E-23
947,Age 0-10 Female,7,ENO2,-0.020262,0.002605,9.17E-15
948,Age 0-10 Male,7,ENO2,-0.016589,0.002448,1.41E-11
949,Age 11-60 All,7,ENO2,-0.010437,0.001121,2.03E-20
950,Age 11-60 Female,7,ENO2,-0.012446,0.001401,9.47E-19
951,Age 11-60 Male,7,ENO2,-0.007085,0.001734,4.48E-05
952,Age 60+All,7,ENO2,-0.016091,0.002796,9.31E-09
953,Age 60+ Female,7,ENO2,-0.018110,0.003413,1.18E-07
954,Age 60+ Male,7,ENO2,-0.012174,0.004754,0.010484705
955,All,8,ENO2,-0.009719,0.000970,2.23E-23
956,Female,8,ENO2,-0.009517,0.001017,1.33E-20
957,Male,8,ENO2,-0.007572,0.001409,8.10E-08
958,Warm All,8,ENO2,-0.023992,0.002651,2.10E-19
959,Warm Female,8,ENO2,-0.023680,0.002682,1.52E-18
960,Warm Male,8,ENO2,-0.021757,0.002987,3.87E-13
961,Cold All,8,ENO2,-0.001360,0.002304,0.555037355
962,Cold Female,8,ENO2,-0.001118,0.002333,0.631839074
963,Cold Male,8,ENO2,0.000564,0.002692,0.83418727
964,Age 0-10 All,8,ENO2,-0.011998,0.001816,4.36E-11
965,Age 0-10 Female,8,ENO2,-0.013198,0.002560,2.66E-07
966,Age 0-10 Male,8,ENO2,-0.011000,0.002413,5.28E-06
967,Age 11-60 All,8,ENO2,-0.008524,0.001122,3.76E-14
968,Age 11-60 Female,8,ENO2,-0.010374,0.001400,1.54E-13
969,Age 11-60 Male,8,ENO2,-0.005441,0.001730,0.00166509
970,Age 60+All,8,ENO2,-0.011848,0.002768,1.91E-05
971,Age 60+ Female,8,ENO2,-0.013260,0.003386,9.12E-05
972,Age 60+ Male,8,ENO2,-0.009105,0.004698,0.052670426
973,All,9,ENO2,-0.004215,0.000964,1.25E-05
974,Female,9,ENO2,-0.003976,0.001009,8.23E-05
975,Male,9,ENO2,-0.002411,0.001391,0.083074073
976,Warm All,9,ENO2,-0.015610,0.002608,2.33E-09
977,Warm Female,9,ENO2,-0.015495,0.002629,4.05E-09
978,Warm Male,9,ENO2,-0.013679,0.002939,3.35E-06
979,Cold All,9,ENO2,0.001855,0.002301,0.420263662
980,Cold Female,9,ENO2,0.002279,0.002324,0.32682867
981,Cold Male,9,ENO2,0.003550,0.002663,0.182613441
982,Age 0-10 All,9,ENO2,-0.006965,0.001797,0.00010757
983,Age 0-10 Female,9,ENO2,-0.008459,0.002533,0.000844676
984,Age 0-10 Male,9,ENO2,-0.005728,0.002376,0.015967477
985,Age 11-60 All,9,ENO2,-0.004034,0.001111,0.000285093
986,Age 11-60 Female,9,ENO2,-0.005438,0.001383,8.56E-05
987,Age 11-60 Male,9,ENO2,-0.001695,0.001711,0.322113874
988,Age 60+All,9,ENO2,0.001496,0.002661,0.573917377
989,Age 60+ Female,9,ENO2,-0.000729,0.003261,0.823025422
990,Age 60+ Male,9,ENO2,0.005792,0.004477,0.195846137
991,All,10,ENO2,-0.002751,0.000959,0.004160898
992,Female,10,ENO2,-0.002829,0.001005,0.004883594
993,Male,10,ENO2,-0.001328,0.001387,0.338177115
994,Warm All,10,ENO2,-0.014724,0.002607,1.73E-08
995,Warm Female,10,ENO2,-0.014723,0.002632,2.37E-08
996,Warm Male,10,ENO2,-0.013667,0.002959,3.97E-06
997,Cold All,10,ENO2,0.003705,0.002315,0.109593364
998,Cold Female,10,ENO2,0.003666,0.002364,0.120974086
999,Cold Male,10,ENO2,0.005353,0.002547,0.035615445
1000,Age 0-10 All,10,ENO2,-0.004111,0.001785,0.021292015
1001,Age 0-10 Female,10,ENO2,-0.006322,0.002515,0.011980338
1002,Age 0-10 Male,10,ENO2,-0.002295,0.002355,0.329713452
1003,Age 11-60 All,10,ENO2,-0.002278,0.001105,0.039323478
1004,Age 11-60 Female,10,ENO2,-0.002976,0.001374,0.030385325
1005,Age 11-60 Male,10,ENO2,-0.001104,0.001708,0.517876575
1006,Age 60+All,10,ENO2,-0.002408,0.002694,0.371606862
1007,Age 60+ Female,10,ENO2,-0.004166,0.003297,0.206410624
1008,Age 60+ Male,10,ENO2,0.001014,0.004560,0.824008652
1009,All,11,ENO2,-0.003021,0.000960,0.001653745
1010,Female,11,ENO2,-0.002653,0.001004,0.008269736
1011,Male,11,ENO2,-0.001622,0.001389,0.242827151
1012,Warm All,11,ENO2,-0.014343,0.002647,6.32E-08
1013,Warm Female,11,ENO2,-0.013722,0.002664,2.72E-07
1014,Warm Male,11,ENO2,-0.014526,0.003042,1.86E-06
1015,Cold All,11,ENO2,0.003059,0.002392,0.200958394
1016,Cold Female,11,ENO2,0.003362,0.002433,0.167052284
1017,Cold Male,11,ENO2,0.005550,0.002682,0.038583666
1018,Age 0-10 All,11,ENO2,-0.007704,0.001802,1.94E-05
1019,Age 0-10 Female,11,ENO2,-0.010570,0.002547,3.39E-05
1020,Age 0-10 Male,11,ENO2,-0.005348,0.002378,0.02457939
1021,Age 11-60 All,11,ENO2,-0.001182,0.001101,0.283351706
1022,Age 11-60 Female,11,ENO2,-0.002199,0.001370,0.108490163
1023,Age 11-60 Male,11,ENO2,0.000526,0.001700,0.7572219
1024,Age 60+All,11,ENO2,-0.003346,0.002705,0.216049101
1025,Age 60+ Female,11,ENO2,-0.004003,0.003294,0.224344852
1026,Age 60+ Male,11,ENO2,-0.002037,0.004605,0.658234957
1027,All,12,ENO2,-0.004026,0.000963,2.95E-05
1028,Female,12,ENO2,-0.003559,0.001008,0.000415611
1029,Male,12,ENO2,-0.004041,0.001399,0.003893669
1030,Warm All,12,ENO2,-0.017261,0.002664,1.02E-10
1031,Warm Female,12,ENO2,-0.016568,0.002697,8.76E-10
1032,Warm Male,12,ENO2,-0.017570,0.003040,8.02E-09
1033,Cold All,12,ENO2,0.003763,0.002329,0.106231225
1034,Cold Female,12,ENO2,0.004192,0.002386,0.078993062
1035,Cold Male,12,ENO2,0.003869,0.002601,0.136966872
